AUC,F1 Macro,Precision Macro,Recall Macro,Accuracy,qc,model_type,num_steps,h_scale,theta_j
0.54,0.4444444444444444,0.45535714285714285,0.45,0.4666666666666667,QC+CL,SHAP50,,,
0.44,0.354066985645933,0.3611111111111111,0.35,0.4,QC+CL,SHAP50,,,
0.6,0.36363636363636365,0.3333333333333333,0.4,0.5714285714285714,QC+CL,SHAP50,,,
0.85,0.65,0.65,0.65,0.7142857142857143,QC+CL,SHAP50,,,
0.375,0.3,0.3,0.3,0.42857142857142855,QC+CL,SHAP50,,,
0.5,0.5757575757575758,0.625,0.575,0.7142857142857143,QC+CL,SHAP50,,,
0.6666666666666666,0.7543859649122806,0.775,0.7444444444444445,0.7857142857142857,QC+CL,SHAP50,,,
0.26666666666666666,0.37777777777777777,0.37777777777777777,0.37777777777777777,0.42857142857142855,QC+CL,SHAP50,,,
0.8,0.7142857142857142,0.875,0.7,0.7857142857142857,QC+CL,SHAP50,,,
0.6888888888888889,0.5238095238095237,0.5833333333333333,0.5444444444444444,0.6428571428571429,QC+CL,SHAP50,,,
0.6888888888888889,0.5906432748538011,0.6,0.5888888888888889,0.6428571428571429,QC+CL,SHAP50,,,
0.56,0.4,0.4,0.4,0.4666666666666667,QC+CL,SHAP50,,,
0.48,0.2857142857142857,0.2727272727272727,0.3,0.4,QC+CL,SHAP50,,,
0.8,0.7619047619047619,0.7840909090909092,0.75,0.8,QC+CL,SHAP50,,,
0.825,0.5757575757575758,0.625,0.575,0.7142857142857143,QC+CL,SHAP50,,,
0.375,0.5238095238095237,0.5303030303030303,0.525,0.6428571428571429,QC+CL,SHAP50,,,
0.325,0.391304347826087,0.34615384615384615,0.45,0.6428571428571429,QC+CL,SHAP50,,,
0.225,0.36363636363636365,0.3333333333333333,0.4,0.5714285714285714,QC+CL,SHAP50,,,
0.3555555555555555,0.37777777777777777,0.37777777777777777,0.37777777777777777,0.42857142857142855,QC+CL,SHAP50,,,
